Citation,PR_ID,Year,ST_OB,ES_ID,CHT_ID,Ecosystem_type,Longitude,Latitude,Study_design,Continent,Region,Country,Climat_type,Source,Variable,Impact_type,Level_ecological_organization,nT,mT,sdT,nC,mC,sdC,num.shared.control,N.control.sc
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,32,ES467,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Phosphorus (mg/kg),P pools,Ecosystem,3,13,14.7917139,3,4.3,0.571576766,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,33,ES468,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Calcium (mg/kg),Macronutrients,Ecosystem,3,3016,609.6818843,3,2083,273.6640276,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,34,ES469,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Magnesium (mg/kg),Macronutrients,Ecosystem,3,1086,166.2768775,3,1080,60.62177826,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,35,ES470,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Organic Carbon (%),C pools,Ecosystem,3,4,0.017320508,3,4,0.017320508,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,36,ES471,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Chloride (mg/kg),Micronutrients,Ecosystem,3,15.3,3.290896534,3,20.3,8.313843876,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,37,ES472,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Sodium (mg/kg),Salinity,Ecosystem,3,73.7,28.23242816,3,80,30.65729929,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,38,ES473,PUB27_3,Forest,152.0355682,-27.3884035,Observational,Australasia,"Geham National Park, Toowoomba region, Queensland",Australia,,Table 3,Soil CEC (MEq/100g),Salinity,Ecosystem,3,24.9,4.330127019,3,20.1,1.732050808,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,39,ES474,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil pH,pH,Ecosystem,3,5.9,0.225166605,3,5.5,0.173205081,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,40,ES475,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil Ammonium (mg/kg),N pools,Ecosystem,3,2.1,0.623538291,3,0.7,0.277128129,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,41,ES476,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil Nitrate (mg/kg),Macronutrients,Ecosystem,3,1.5,0.866025404,3,1,0.866025404,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,42,ES477,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil Potassium (mg/kg),Macronutrients,Ecosystem,3,209,36.37306696,3,180,12.12435565,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,43,ES478,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil Phosphorus (mg/kg),P pools,Ecosystem,3,2.7,0.571576766,3,5,4.364768035,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,44,ES479,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil Calcium (mg/kg),Macronutrients,Ecosystem,3,831,109.1192009,3,557,39.83716857,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,45,ES480,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil Magnesium (mg/kg),Macronutrients,Ecosystem,3,534,39.83716857,3,447,53.69357503,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,46,ES481,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil Organic Carbon (%),C pools,Ecosystem,3,1.2,0.103923048,3,1.4,0.103923048,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,47,ES482,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil Chloride (mg/kg),Micronutrients,Ecosystem,3,11.3,4.156921938,3,10,5.542562584,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,48,ES483,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil Sodium (mg/kg),Salinity,Ecosystem,3,22.7,12.99038106,3,23.3,8.660254038,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,49,ES484,PUB27_4,Forest,152.0722368,-27.0303598,Observational,Australasia,"Upper Flagstone Creek, Toowoomba region, Queensland",Australia,,Table 3,Soil CEC (MEq/100g),Salinity,Ecosystem,3,9.2,0.866025404,3,7.1,0.346410162,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,50,ES485,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil pH,pH,Ecosystem,3,6.1,0.069282032,3,5.9,0.069282032,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,51,ES486,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Ammonium (mg/kg),N pools,Ecosystem,3,2.2,0.484974226,3,2.9,0.588897275,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,52,ES487,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Nitrate (mg/kg),Macronutrients,Ecosystem,3,3.3,4.763139721,3,12.3,3.516063139,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,53,ES488,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Potassium (mg/kg),Macronutrients,Ecosystem,3,682,282.3242816,3,269,43.30127019,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,54,ES489,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Phosphorus (mg/kg),P pools,Ecosystem,3,56.7,19.05255888,3,57.3,6.02753681,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,55,ES490,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Calcium (mg/kg),Macronutrients,Ecosystem,3,4015,148.9563695,3,3486,445.1370575,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,56,ES491,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Magnesium (mg/kg),Macronutrients,Ecosystem,3,1432,45.033321,3,1020,138.5640646,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,57,ES492,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Organic Carbon (%),C pools,Ecosystem,3,4,0.017320508,3,4,0.017320508,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,58,ES493,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Chloride (mg/kg),Micronutrients,Ecosystem,3,31.5,6.062177826,3,17.3,9.006664199,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,59,ES494,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil Sodium (mg/kg),Salinity,Ecosystem,3,94,1.732050808,3,71.7,15.93486743,1,3
Le Brocque et al. 2013. Australasian Mycologist 31: 17-23,PUB27,2013,60,ES495,PUB27_5,Forest,151.9854503,-27.5955408,Observational,Australasia,"Duggan Park, Toowoomba region, Queensland",Australia,,Table 3,Soil CEC (MEq/100g),Salinity,Ecosystem,3,34.2,1.385640646,3,26.9,3.290896534,1,3
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,1,ES496,PUB28_1,Unknown,26.837383,-33.605619,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of all plant speciesin seed bank (m2) (site 1),Plant abundance,Community,10,4100,3.636619309,10,4050,2.434953798,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,2,ES497,PUB28_1,Unknown,26.837383,-33.605619,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of all species in seed bank (site 1),Plant richness,Community,10,12,3.604996533,10,12,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,3,ES498,PUB28_1,Unknown,26.837383,-33.605619,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Shannon–Wiener diversity index in seed bank (site 1),Plant diversity,Community,10,1.23,0.347850543,10,1.38,0.252982213,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,4,ES499,PUB28_1,Unknown,26.837383,-33.605619,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Evenness index in seed bank (site 1),Plant diversity,Community,10,0.9,0.09486833,10,0.91,0.063245553,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,5,ES500,PUB28_1,Unknown,26.837383,-33.605619,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of alien plant species in seed bank (m2) (site 1),Plant abundance,Community,10,2700,3.604996533,10,3000,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,6,ES501,PUB28_1,Unknown,26.837383,-33.605619,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of native plant species in seed bank (m2) (site 1),Plant abundance,Community,10,750,3.604996533,10,1000,2.213594362,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,7,ES502,PUB28_1,Unknown,26.837383,-33.605619,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of alien plant species in seed bank (site 1),Plant richness,Community,10,8,3.604996533,10,9,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,8,ES503,PUB28_1,Unknown,26.837383,-33.605619,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of native plant species in seed bank (site 1),Plant richness,Community,10,4,3.604996533,10,3,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,9,ES504,PUB28_2,Unknown,27.165306,-33.462458,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of all plant speciesin seed bank (m2) (site 2),Plant abundance,Community,10,2700,3.604996533,10,5200,2.213594362,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,10,ES505,PUB28_2,Unknown,27.165306,-33.462458,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of all species in seed bank (site 2),Plant richness,Community,10,14,3.604996533,10,16,2.213594362,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,11,ES506,PUB28_2,Unknown,27.165306,-33.462458,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Shannon–Wiener diversity index in seed bank (site 2),Plant diversity,Community,10,1.07,0.347850543,10,1.47,0.316227766,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,12,ES507,PUB28_2,Unknown,27.165306,-33.462458,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Evenness index in seed bank (site 2),Plant diversity,Community,10,0.92,0.09486833,10,0.95,0.063245553,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,13,ES508,PUB28_2,Unknown,27.165306,-33.462458,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of alien plant species in seed bank (m2) (site 2),Plant abundance,Community,10,1100,3.636619309,10,3850,2.434953798,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,14,ES509,PUB28_2,Unknown,27.165306,-33.462458,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of native plant species in seed bank (m2) (site 2),Plant abundance,Community,10,1000,3.636619309,10,1300,2.276839915,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,15,ES510,PUB28_2,Unknown,27.165306,-33.462458,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of alien plant species in seed bank (site 2),Plant richness,Community,10,10,3.668242086,10,12,2.213594362,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,16,ES511,PUB28_2,Unknown,27.165306,-33.462458,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of native plant species in seed bank (site 2),Plant richness,Community,10,4,3.604996533,10,4,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,17,ES512,PUB28_3,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of all plant speciesin seed bank (m2) (site 3),Plant abundance,Community,10,1850,2.245217139,10,3350,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,18,ES513,PUB28_3,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of all species in seed bank (site 3),Plant richness,Community,10,12,2.245217139,10,15,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,19,ES514,PUB28_3,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Shannon–Wiener diversity index in seed bank (site 3),Plant diversity,Community,10,1.1,0.221359436,10,1.42,0.284604989,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,20,ES515,PUB28_3,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Evenness index in seed bank (site 3),Plant diversity,Community,10,0.96,0.031622777,10,0.96,0.031622777,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,21,ES516,PUB28_3,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of alien plant species in seed bank (m2) (site 3),Plant abundance,Community,10,1200,2.213594362,10,1850,2.213594362,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,22,ES517,PUB28_3,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of native plant species in seed bank (m2) (site 3),Plant abundance,Community,10,200,2.213594362,10,1400,2.308462692,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,23,ES518,PUB28_3,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of alien plant species in seed bank (site 3),Plant richness,Community,10,9,2.245217139,10,10,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,24,ES519,PUB28_3,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of native plant species in seed bank (site 3),Plant richness,Community,10,3,2.245217139,10,5,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,25,ES520,PUB28_4,Unknown,27.562611,-33.191553,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of all plant speciesin seed bank (m2) (site 4),Plant abundance,Community,10,2600,5.407494799,10,4150,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,26,ES521,PUB28_4,Unknown,27.562611,-33.191553,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of all species in seed bank (site 4),Plant richness,Community,10,7,5.439117575,10,9,4.016092628,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,27,ES522,PUB28_4,Unknown,27.562611,-33.191553,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Shannon–Wiener diversity index in seed bank (site 4),Plant diversity,Community,10,0.95,0.442718872,10,1.27,0.18973666,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,28,ES523,PUB28_4,Unknown,27.562611,-33.191553,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Evenness index in seed bank (site 4),Plant diversity,Community,10,0.85,0.284604989,10,0.92,0.063245553,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,29,ES524,PUB28_4,Unknown,27.562611,-33.191553,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of alien plant species in seed bank (m2) (site 4),Plant abundance,Community,10,1600,5.470740352,10,2750,2.403331022,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,30,ES525,PUB28_4,Unknown,27.562611,-33.191553,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of alien plant species in seed bank (site 4),Plant richness,Community,10,7,5.439117575,10,5,2.276839915,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,31,ES526,PUB28_5,Unknown,27.696806,-33.131214,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of all plant speciesin seed bank (m2) (site 5),Plant abundance,Community,10,1850,1.423024947,10,5600,5.565608682,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,32,ES527,PUB28_5,Unknown,27.696806,-33.131214,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of all species in seed bank (site 5),Plant richness,Community,10,6,1.39140217,10,13,2.245217139,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,33,ES528,PUB28_5,Unknown,27.696806,-33.131214,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Shannon–Wiener diversity index in seed bank (site 5),Plant diversity,Community,10,0.94,0.221359436,10,1.36,0.221359436,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,34,ES529,PUB28_5,Unknown,27.696806,-33.131214,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Evenness index in seed bank (site 5),Plant diversity,Community,10,0.94,0.031622777,10,0.92,0.031622777,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,35,ES530,PUB28_5,Unknown,27.696806,-33.131214,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of alien plant species in seed bank (m2) (site 5),Plant abundance,Community,10,700,1.423024947,10,3800,2.213594362,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,36,ES531,PUB28_5,Unknown,27.696806,-33.131214,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of native plant species in seed bank (m2) (site 5),Plant abundance,Community,10,150,1.423024947,10,1800,2.308462692,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,37,ES532,PUB28_5,Unknown,27.696806,-33.131214,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of alien plant species in seed bank (site 5),Plant richness,Community,10,5,1.39140217,10,7,2.213594362,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,38,ES533,PUB28_5,Unknown,27.696806,-33.131214,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of native plant species in seed bank (site 5),Plant richness,Community,10,1,1.423024947,10,6,2.213594362,1,10
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,39,ES534,PUB28_6,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of all plant speciesin seed bank (m2) (average),Plant abundance,Community,50,2620,1187.232286,50,4470,1180.231928,1,50
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,40,ES535,PUB28_6,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of all species in seed bank (average),Plant richness,Community,50,10.2,5.515432893,50,13,4.5254834,1,50
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,41,ES536,PUB28_6,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Shannon–Wiener diversity index in seed bank (average),Plant diversity,Community,50,1.06,0.353553391,50,1.38,0.282842712,1,50
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,42,ES537,PUB28_6,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Evenness index in seed bank (average),Plant diversity,Community,50,0.91,0.141421356,50,0.93,0.070710678,1,50
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,43,ES538,PUB28_6,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of alien plant species in seed bank (m2) (average),Plant abundance,Community,50,1460,985.706853,50,3050,1067.448397,1,50
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,44,ES539,PUB28_6,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Density of native plant species in seed bank (m2) (average),Plant abundance,Community,50,420,556.3516154,50,1380,369.6754252,1,50
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,45,ES540,PUB28_6,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of alien plant species in seed bank (average),Plant richness,Community,50,7.8,4.030508653,50,8.6,4.5254834,1,50
Ruwanza 2016. South African Journal of Plant and Soil 33(4): 303-308,PUB28,2016,46,ES541,PUB28_6,Unknown,26.888056,-33.454861,Experimental ,Africa,"Port Alfred and East London, Eastern Cape province ",South Africa,,Table 3,Richness of native plant species in seed bank (average),Plant richness,Community,50,2.4,3.323401872,50,4.4,3.181980515,1,50
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,1,ES542,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Soil pH (Wet season),pH,Ecosystem,10,6.48,0.14,10,6.3,0.13,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,2,ES543,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,N % (Wet season),P pools,Ecosystem,10,0.16,0.01,10,0.18,0.01,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,3,ES544,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Organic C % (Wet season),C pools,Ecosystem,10,1.49,0.12,10,1.73,0.1,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,4,ES545,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,P me% (Wet season),P pools,Ecosystem,10,21.11,2.71,10,18.81,2.1,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,5,ES546,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,K me% (Wet season),Macronutrients,Ecosystem,10,2.49,0.53,10,1.89,0.42,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,6,ES547,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Ca me% (Wet season),Macronutrients,Ecosystem,10,25.4,16.5,10,6.87,1.08,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,7,ES548,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mg me% (Wet season),Macronutrients,Ecosystem,10,3,0.26,10,3.05,0.26,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,8,ES549,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Mn me% (Wet season),Micronutrients,Ecosystem,10,0.94,0.11,10,0.77,0.1,1,10
Wekhanya 2016. Masters of Science Thesis Kenyatta University,PUB29,2016,9,ES550,PUB29_1,Forest,37.2482689,-1.1400887,Observational,Africa,Ol-Donyo Sabuk National Park,Kenya,,Appendix,Cu ppm (Wet season),Micronutrients,Ecosystem,10,8.18,0.74,10,10.66,0.5,1,10
